"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L31792","driver","test.acceptance.ExampleSeleniumTests.driver;LFirefoxDriver;","L31790","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\test\unit\acceptance\ExampleSeleniumTests.java","18","5","18","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L31801","day","test.unit.DateUtilsTests.day;J","L31799","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\test\unit\DateUtilsTests.java","15","2","15","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L899","SESSION_USER","com.serotonin.mango.Common.SESSION_USER;Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","69","5","69","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L900","ANON_VIEW_KEY","com.serotonin.mango.Common.ANON_VIEW_KEY;Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","70","5","70","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L901","CUSTOM_VIEW_KEY","com.serotonin.mango.Common.CUSTOM_VIEW_KEY;Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","71","5","71","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L902","UTF8","com.serotonin.mango.Common.UTF8;Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","73","5","73","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L903","UTF8_CS","com.serotonin.mango.Common.UTF8_CS;Ljava/nio/charset/Charset;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","74","5","74","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L910","NEW_ID","com.serotonin.mango.Common.NEW_ID;I","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","76","5","76","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L911","ctx","com.serotonin.mango.Common.ctx;Lcom/serotonin/mango/web/ContextWrapper;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","77","5","77","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L915","timer","com.serotonin.mango.Common.timer;LRealTimeTimer;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","80","5","80","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L917","MONITORED_VALUES","com.serotonin.mango.Common.MONITORED_VALUES;LMonitoredValues;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","82","5","82","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L487","TIME_PERIOD_CODES","com.serotonin.mango.Common.TIME_PERIOD_CODES;Lcom/serotonin/mango/util/ExportCodes;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","117","5","117","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1083","lazyFiledataPath","com.serotonin.mango.Common.lazyFiledataPath;Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","312","5","312","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1197","i18nLock","com.serotonin.mango.Common.i18nLock;Ljava/lang/Object;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","451","5","451","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1202","systemLanguage","com.serotonin.mango.Common.systemLanguage;Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","452","5","452","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1203","systemBundle","com.serotonin.mango.Common.systemBundle;Ljava/util/ResourceBundle;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","453","5","453","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
