"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L31790","ExampleSeleniumTests","test.acceptance.ExampleSeleniumTests","L31785","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\test\unit\acceptance\ExampleSeleniumTests.java","16","1","47","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","23","32","0","0","0","0","0","0","0","3","0","1","1","3","0","0","0","0","0","9","0","1","1","0","2","3","0","0","23","32","0","0","0","0","3","0","1","1","3","9","0","1","1","3","0","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L31799","DateUtilsTests","test.unit.DateUtilsTests","L31797","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\test\unit\DateUtilsTests.java","12","1","35","2","0","2","0","0","0","0","0","0","0","0","1","0","1","1","0","0","19","24","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","3","0","0","0","0","1","2","0","1","19","24","0","0","0","0","1","0","0","0","1","3","0","0","0","1","0","0","1","0","8","0","4","3","1","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L895","Common","com.serotonin.mango.Common","L887","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","68","1","511","2","0.3","10","0","0.071727","1","1","0","1","0.0495495","0.0606936","42","0","32","4","22","21","320","418","0","24","0","0","0","0","24","32","0","29","3","32","0","0","0","12","0","171","0","29","3","9","21","44","0","42","346","444","0","24","0","24","32","0","29","3","32","171","0","29","3","88","0","2","19","2","50","5","23","27","0","0","0","3","1","0","0","7","1","1","0","4","0","6"
"L1258","DataTypes","com.serotonin.mango.DataTypes","L887","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\DataTypes.java","25","1","69","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","41","45","0","2","0","0","0","0","2","3","0","3","0","3","0","0","0","1","0","13","0","3","0","0","4","4","0","0","41","45","0","2","0","2","3","0","3","0","3","13","0","3","0","10","0","0","1","1","3","0","1","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L3047","ImageSaveException","com.serotonin.mango.ImageSaveException","L887","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\ImageSaveException.java","24","1","30","2","0.5","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","6","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","1","1","1","0","3","6","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L5797","MangoContextListener","com.serotonin.mango.MangoContextListener","L887","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\MangoContextListener.java","73","1","430","2","0","28","0","0","0","0","0","0","0","0","57","0","36","1","0","0","253","358","0","0","0","0","0","0","0","15","0","2","0","15","0","0","0","33","0","183","0","2","0","0","3","48","0","57","253","358","0","0","0","0","15","0","2","0","15","183","0","2","0","33","0","1","4","2","26","2","1","11","1","0","2","0","14","0","0","0","0","0","2","1","0","1"
"L1282","BasePooledAccess","com.serotonin.mango.db.BasePooledAccess","L1273","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\db\BasePooledAccess.java","44","1","141","2","0.166667","2","0","0","0","0","0","0","0","0","6","1","3","1","0","0","80","98","0","7","0","0","0","0","4","9","0","5","0","20","1","2","2","3","1","41","0","13","0","1","5","12","0","6","80","98","0","7","0","4","9","0","5","0","20","41","0","13","0","16","0","0","1","1","7","0","2","4","0","0","2","0","0","0","0","0","0","0","0","1","0","0"
"L1284","DatabaseAccess","com.serotonin.mango.db.DatabaseAccess","L1273","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\db\DatabaseAccess.java","47","1","213","2","0","10","0","0","0","0","0","0","0","0","8","0","0","2","0","0","109","145","0","5","0","0","0","0","5","16","0","12","0","16","0","2","4","21","0","60","0","12","0","0","13","37","0","8","130","167","0","9","0","9","20","0","12","0","20","63","0","12","0","27","0","4","8","3","8","0","0","8","2","0","5","0","0","0","0","0","1","0","1","5","0","1"
"L4560","DatabaseAccessUtils","com.serotonin.mango.db.DatabaseAccessUtils","L1273","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\db\DatabaseAccessUtils.java","3","1","28","2","0","0","0","0","0","0","0","0","0","0","19","0","0","1","0","0","5","26","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","19","5","26","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L4508","DBConvert","com.serotonin.mango.db.DBConvert","L1273","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\db\DBConvert.java","34","1","156","2","0.25","1","0","0","0","0","0","0","0","0","41","0","3","1","0","0","102","123","0","1","0","0","0","0","1","5","0","3","2","5","0","0","0","2","0","55","0","3","2","1","3","7","0","41","102","123","0","1","0","1","5","0","3","2","5","55","0","3","2","13","0","5","1","0","7","0","3","4","0","0","5","0","0","0","0","0","0","0","0","1","0","0"
