"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C34930","69~CloneInstance","C3263","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","106","5","127","6","1","1","667","22","1","1"
"C12413","1~CloneInstance","C267","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\DataPointVO.java","664","13","685","14","1","2","49","22","1","0"
"C12414","2~CloneInstance","C267","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\DataPointVO.java","691","13","712","14","1","2","49","22","1","0"
"C37124","125~CloneInstance","C3929","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\view\component\MultistateGraphicComponent.java","93","5","114","6","1","5","2","22","1","0"
"C37125","126~CloneInstance","C3929","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\view\graphic\MultistateImageSetRenderer.java","98","5","119","6","1","5","8","22","1","0"
"C15957","17~CloneInstance","C725","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\event\EventHandlerVO.java","364","17","389","18","1","8","38","26","1","0"
"C15958","18~CloneInstance","C725","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\event\EventHandlerVO.java","392","17","417","18","1","8","38","26","1","0"
"C17711","53~CloneInstance","C1031","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\event\EventHandlerVO.java","633","13","655","14","1","4","44","23","1","0"
"C17712","54~CloneInstance","C1031","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\event\EventHandlerVO.java","660","13","682","14","1","4","44","23","1","0"
"C35105","71~CloneInstance","C3317","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\event\EventHandlerVO.java","761","13","782","14","1","8","42","22","1","0"
"C35106","72~CloneInstance","C3317","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\event\EventHandlerVO.java","785","13","806","14","1","8","42","22","1","0"
"C37050","123~CloneInstance","C3899","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\event\MaintenanceEventVO.java","387","5","410","94","1","8","6","24","1","0"
"C37049","122~CloneInstance","C3899","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\event\ScheduledEventVO.java","242","5","265","94","1","8","8","24","1","0"
"C12415","4~CloneInstance","C268","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","548","13","578","44","1","1","65","31","1","0"
"C12416","5~CloneInstance","C268","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportVO.java","582","13","612","44","1","1","65","31","1","0"
