"ID","Name","LongName","Parent","CLOC","LLOC","LOC","McCC","PDA","PUA"
"L31798","DateUtilsTests.java","C:/Users/meet/Desktop/semProject/mangoSource/src/test/unit/DateUtilsTests.java","L31787","0","26","35","1","0","1"
"L891","Common.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/Common.java","L890","0","389","512","57","9","24"
"L892","DataTypes.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/DataTypes.java","L890","0","45","70","8","0","4"
"L893","ImageSaveException.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/ImageSaveException.java","L890","0","7","31","1","1","1"
"L894","MangoContextListener.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/MangoContextListener.java","L890","0","301","431","19","0","3"
"L31789","ExampleSeleniumTests.java","C:/Users/meet/Desktop/semProject/mangoSource/src/test/unit/acceptance/ExampleSeleniumTests.java","L31788","0","32","47","1","0","2"
"L1275","BasePooledAccess.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/BasePooledAccess.java","L1274","0","97","142","8","1","5"
"L1276","DatabaseAccess.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/DatabaseAccess.java","L1274","0","153","214","12","0","14"
"L1277","DatabaseAccessUtils.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/DatabaseAccessUtils.java","L1274","0","6","29","1","0","2"
"L1278","DBConvert.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/DBConvert.java","L1274","0","111","157","9","1","3"
"L1279","DerbyAccess.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/DerbyAccess.java","L1274","0","190","248","17","0","9"
"L1280","MSSQLAccess.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/MSSQLAccess.java","L1274","0","48","80","7","0","5"
"L1281","MySQLAccess.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/db/MySQLAccess.java","L1274","0","68","102","8","0","5"
"L6108","EventManager.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/EventManager.java","L6107","0","234","358","54","4","7"
"L6109","RTException.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/RTException.java","L6107","0","16","43","1","1","4"
"L6110","RuntimeManager.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/rt/RuntimeManager.java","L6107","0","562","840","93","8","37"
"L15523","BackgroundContext.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/BackgroundContext.java","L15522","0","33","83","1","4","3"
"L15524","ChangeComparable.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/ChangeComparable.java","L15522","0","9","37","1","1","4"
"L15525","ChangeComparableObject.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/ChangeComparableObject.java","L15522","0","7","36","1","1","2"
"L15526","CommPortConfigException.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/CommPortConfigException.java","L15522","0","7","31","1","1","1"
"L15527","DateUtils.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/DateUtils.java","L15522","0","93","137","14","1","7"
"L15528","DocumentationItem.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/DocumentationItem.java","L15522","0","19","47","1","1","4"
"L15529","DocumentationManifest.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/DocumentationManifest.java","L15522","0","29","62","5","1","2"
"L15530","ExportCodes.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/ExportCodes.java","L15522","0","80","118","15","1","10"
"L15531","IntMessagePair.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/IntMessagePair.java","L15522","0","26","59","1","1","6"
"L15532","LocalizableJsonException.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/LocalizableJsonException.java","L15522","0","16","44","1","1","3"
"L15533","MangoGroveLogAppender.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/util/MangoGroveLogAppender.java","L15522","0","65","102","9","1","2"
"L15972","DynamicImage.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/DynamicImage.java","L15971","0","15","38","1","0","3"
"L15973","ImageSet.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/ImageSet.java","L15971","0","24","50","2","0","5"
"L15974","ImplDefinition.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/ImplDefinition.java","L15971","0","57","90","5","0","12"
"L15975","PointView.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/PointView.java","L15971","0","97","145","3","0","26"
"L15976","ShareUser.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/ShareUser.java","L15971","0","62","96","5","1","6"
"L15977","View.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/View.java","L15971","0","215","290","35","1","26"
"L15978","ViewGraphic.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/ViewGraphic.java","L15971","0","41","70","1","0","9"
"L15979","ViewGraphicLoader.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/view/ViewGraphicLoader.java","L15971","0","111","153","20","0","2"
"L18770","AnonymousUser.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/vo/AnonymousUser.java","L18769","0","15","41","1","1","3"
"L18771","CommPortProxy.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/vo/CommPortProxy.java","L18769","0","35","61","3","0","6"
"L18772","DataPointExtendedNameComparator.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/vo/DataPointExtendedNameComparator.java","L18769","0","11","37","2","1","1"
"L18773","DataPointNameComparator.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/vo/DataPointNameComparator.java","L18769","0","11","37","2","1","1"
"L18774","DataPointVO.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/vo/DataPointVO.java","L18769","0","749","930","58","0","78"
"L18775","ListParent.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/vo/ListParent.java","L18769","0","18","46","1","1","4"
"L18776","User.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/vo/User.java","L18769","0","364","507","27","7","61"
"L18777","UserComment.java","C:/Users/meet/Desktop/semProject/mangoSource/src/com/serotonin/mango/vo/UserComment.java","L18769","0","37","71","1","0","10"
