"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L920","Common$ContextKeys","com.serotonin.mango.Common$ContextKeys","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","93","5","104","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","10","0","10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L931","Common$TimePeriods","com.serotonin.mango.Common$TimePeriods","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","106","5","115","6","0","0","0","1","1","1","0","1","1","1","0","0","0","0","10","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","8","0","8","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0"
"L947","Common$GroveServlets","com.serotonin.mango.Common$GroveServlets","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","129","5","132","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L2039","ChangeComparable<T extends Object>","com.serotonin.mango.util.ChangeComparable","L15521","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\util\ChangeComparable.java","28","1","36","2","0.2","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","6","9","0","2","0","0","0","0","2","4","0","4","0","4","0","8","37","0","0","0","0","4","0","1","4","4","0","3","6","9","0","2","0","2","4","0","4","0","4","0","0","4","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L15565","ChangeComparableObject","com.serotonin.mango.util.ChangeComparableObject","L15521","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\util\ChangeComparableObject.java","31","1","35","2","0.333333","0","0","0","0","0","0","0","0","0","6","0","6","0","0","0","4","5","0","0","0","0","0","0","0","2","0","2","0","2","0","3","45","0","0","0","0","2","0","1","2","2","0","6","4","5","0","0","0","0","2","0","2","0","2","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L6154","DataPointListener","com.serotonin.mango.rt.dataImage.DataPointListener","L6111","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\dataImage\DataPointListener.java","21","1","64","2","0.857143","1","0","0","0","0","0","0","0","0","31","0","31","0","0","0","8","44","0","0","0","0","0","0","0","6","0","6","0","6","0","5","21","0","0","0","0","6","0","6","1","6","0","31","8","44","0","0","0","0","6","0","6","0","6","0","0","6","0","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L6236","IDataPoint","com.serotonin.mango.rt.dataImage.IDataPoint","L6111","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\dataImage\IDataPoint.java","26","1","44","2","0.1","2","0","0","0","0","0","0","0","0","3","0","3","0","0","0","11","19","0","6","0","0","0","0","6","9","0","9","1","9","0","2","2","0","0","0","0","9","1","1","9","9","0","3","11","19","0","6","0","6","9","0","9","1","9","0","0","9","1","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"L250","SetPointSource","com.serotonin.mango.rt.dataImage.SetPointSource","L6111","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\dataImage\SetPointSource.java","29","1","42","2","0.25","0","0","0","0","0","0","0","0","0","8","0","8","0","0","0","5","8","0","2","0","0","0","0","2","3","0","3","0","3","0","4","4","0","0","0","0","3","0","1","3","3","0","8","11","14","0","2","0","2","3","0","3","0","3","0","0","3","0","3","0","0","2","0","8","0","4","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"L12617","EventDetector","com.serotonin.mango.rt.event.EventDetector","L11916","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\event\EventDetector.java","24","1","26","2","0.5","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","3","3","0","0","0","0","0","0","0","1","0","1","0","1","0","1","18","0","0","0","0","1","0","1","1","1","0","3","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L12009","EventDetectorListener","com.serotonin.mango.rt.event.EventDetectorListener","L11916","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\event\EventDetectorListener.java","24","1","28","2","0.333333","1","0","0","0","0","0","0","0","0","3","0","3","0","0","0","4","5","0","0","0","0","0","0","0","2","0","2","0","2","0","1","1","0","0","0","0","2","0","1","2","2","0","3","4","5","0","0","0","0","2","0","2","0","2","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L12734","ModelTimeoutClient<T extends Object>","com.serotonin.mango.util.timeout.ModelTimeoutClient","L15921","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\util\timeout\ModelTimeoutClient.java","3","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","1","0","1","0","1","0","3","3","0","0","0","0","1","0","0","2","1","0","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L6239","TimeoutClient","com.serotonin.mango.util.timeout.TimeoutClient","L15921","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\util\timeout\TimeoutClient.java","21","1","23","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","1","0","1","0","1","0","5","43","0","0","0","0","1","0","0","2","1","0","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L4992","ChartRenderer","com.serotonin.mango.view.chart.ChartRenderer","L15980","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\view\chart\ChartRenderer.java","27","1","38","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","12","0","2","0","0","0","0","2","3","0","3","0","3","0","1","6","0","0","0","0","3","0","0","4","3","0","0","9","12","0","2","0","2","3","0","3","0","3","0","0","3","0","3","0","0","1","0","7","0","0","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L17109","Conversion","com.serotonin.mango.view.conversion.Conversion","L17104","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\view\conversion\Conversion.java","24","1","26","2","0.5","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","3","3","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","0","0","0","0","1","0","1","1","1","0","3","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
