"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","LDC","LLDC","LLOC","LOC","MI","MIMS","MISEI","MISM","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L31793","void setUp()","test.acceptance.ExampleSeleniumTests.setUp()V","L31790","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\test\unit\acceptance\ExampleSeleniumTests.java","20","5","31","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","12","0","0","0","0","1","0","0","0","0","6","0","0","0","10","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L31795","void close()","test.acceptance.ExampleSeleniumTests.close()V","L31790","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\test\unit\acceptance\ExampleSeleniumTests.java","33","5","36","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L31796","void usernameDisplay()","test.acceptance.ExampleSeleniumTests.usernameDisplay()V","L31790","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\test\unit\acceptance\ExampleSeleniumTests.java","39","5","45","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","0","0","0","0","1","0","0","0","0","2","0","0","0","6","7","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L31803","void minusLong()","test.unit.DateUtilsTests.minusLong()V","L31799","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\test\unit\DateUtilsTests.java","17","5","34","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","18","0","0","0","0","1","0","0","0","1","3","0","0","0","16","18","3","0","0","0","0","6","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L918","String getVersion()","com.serotonin.mango.Common.getVersion()Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","89","5","91","6","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","0","1","0","0","5","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L950","long getMillis(int periodType, int periods)","com.serotonin.mango.Common.getMillis(II)J","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","141","5","143","6","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","1","1","2","0","7","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L958","Period getPeriod(int periodType, int periods)","com.serotonin.mango.Common.getPeriod(II)Lorg/joda/time/Period;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","145","5","166","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","22","0","0","0","0","9","0","0","0","0","10","2","0","0","22","22","10","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L981","LocalizableMessage getPeriodDescription(int periodType, int periods)","com.serotonin.mango.Common.getPeriodDescription(II)LLocalizableMessage;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","168","5","200","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","33","0","0","0","0","9","0","0","0","0","20","2","0","0","32","33","20","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L984","User getUser()","com.serotonin.mango.Common.getUser()Lcom/serotonin/mango/vo/User;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","204","5","214","6","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","10","11","0","0","0","0","3","0","0","0","3","7","0","0","3","10","11","7","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L997","User getUser(HttpServletRequest request)","com.serotonin.mango.Common.getUser(Ljavax/servlet/http/HttpServletRequest;)Lcom/serotonin/mango/vo/User;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","216","5","231","6","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","9","16","0","0","0","0","3","0","0","0","0","7","1","0","4","9","16","7","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
