"ID","Name","LongName","Parent","Component","AD","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","LDC","LLDC","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","PDA","PUA","TAD","TCD","TCLOC","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","TPDA","TPUA","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0","0.02777","35","323","0","83","0.0191798","0.0246528","0","1764","1491","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0.124447","0","16933","61076","91972","0","778","128","8","618","2192","47","6601","26114","0","597","7","47","121","5454","979","732","5150","0","217","2860","551","5488","274","519","4796","283","0","421","73","164","0","0"
"L104","br","br","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","47","1132","1424","0","12","18","0","12","42","0","144","399","0","12","0","0","10","119","33","0","131","0","0","47","20","100","1","6","86","18","0","7","0","3","0","0"
"L885","com","com","L100","L103","0","0.0283052","35","323","0","83","0.019499","0.0251472","0","1764","1491","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0.127349","0","16885","59886","90466","0","764","114","8","604","2150","47","6453","25703","0","583","7","47","106","5334","945","732","5016","0","217","2811","530","5378","273","507","4707","263","0","414","73","161","0","0"
"L31784","test","test","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","58","82","0","2","10","0","2","0","0","4","12","0","2","0","0","2","1","1","0","3","0","0","2","1","10","0","6","3","2","0","0","0","0","0","0"
"L105","org","br.org","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","47","1132","1424","0","12","18","0","12","42","0","144","399","0","12","0","0","9","119","33","0","131","0","0","47","20","100","1","6","86","18","0","7","0","3","0","0"
"L886","serotonin","com.serotonin","L885","L103","0","0.0283052","35","323","0","83","0.019499","0.0251472","0","1764","1491","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0.127349","0","16885","59886","90466","0","764","114","8","604","2150","47","6453","25703","0","583","7","47","105","5334","945","732","5016","0","217","2811","530","5378","273","507","4707","263","0","414","73","161","0","0"
"L31785","acceptance","test.acceptance","L31784","L103","0","0","0","0","0","0","0","0","0","0","0","32","47","0","1","0","0","0","3","0","0","1","1","0","2","0","0","0","32","47","0","1","10","0","1","0","0","3","9","0","1","0","0","0","1","1","0","2","0","0","1","1","1","0","1","0","1","0","0","0","0","0","0"
"L31797","unit","test.unit","L31784","L103","0","0","0","0","0","0","0","0","1","0","0","26","35","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","26","35","0","1","9","0","1","0","0","1","3","0","1","0","0","0","0","0","0","1","0","0","1","0","9","0","5","3","1","0","0","0","0","0","0"
"L106","scadabr","br.org.scadabr","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","47","1132","1424","0","12","18","0","12","42","0","144","399","0","12","0","0","8","119","33","0","131","0","0","47","20","100","1","6","86","18","0","7","0","3","0","0"
"L887","mango","com.serotonin.mango","L886","L103","0.238095","0.0283052","35","323","0","83","0.0429688","0.0539846","174","22","21","742","1044","0","4","0","26","3","51","0","6","35","3","10","32","0.127349","0","16885","59886","90466","0","764","114","8","604","2150","47","6453","25703","0","583","7","47","104","5334","945","732","5016","0","217","2811","530","5378","273","507","4707","263","0","414","73","161","0","0"
"L107","rt","br.org.scadabr.rt","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","317","383","0","6","14","0","6","2","0","20","127","0","6","0","0","3","17","2","0","23","0","0","10","18","15","1","6","9","13","0","5","0","0","0","0"
"L396","vo","br.org.scadabr.vo","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","44","815","1041","0","6","14","0","6","40","0","124","272","0","6","0","0","3","102","31","0","108","0","0","37","2","85","0","0","77","5","0","2","0","3","0","0"
"L1273","db","com.serotonin.mango.db","L887","L103","0.0444444","0","0","0","0","0","0","0","198","0","0","673","972","0","14","1","23","0","66","0","2","40","2","2","43","0.166667","0","1901","6247","9134","0","159","13","1","63","181","0","546","2410","0","66","1","0","2","372","30","58","290","0","57","262","35","426","12","37","361","13","0","94","0","13","0","0"
"L6106","rt","com.serotonin.mango.rt","L887","L103","0.213115","0.0188876","5","61","0","9","0","0","233","0","0","812","1241","0","3","0","13","0","83","0","6","58","3","13","48","0.172999","0","5708","16149","25508","0","222","49","3","202","459","13","1644","7240","0","190","2","13","38","1333","74","255","1219","0","66","689","167","1677","69","155","1451","122","0","90","58","34","0","0"
"L15521","util","com.serotonin.mango.util","L887","L103","0.241379","0","0","0","0","0","0","0","260","0","0","384","756","0","10","0","18","2","52","0","3","47","2","14","44","0.263636","0","626","1107","3197","0","14","14","0","17","38","4","104","343","0","13","0","4","3","93","3","29","81","0","4","30","20","54","4","34","34","3","0","5","0","2","0","0"
"L15970","view","com.serotonin.mango.view","L887","L103","0.021978","0.0080888","1","10","0","2","0","0","166","0","0","622","932","0","8","0","40","0","91","0","8","83","21","2","89","0.0887574","0","1976","5092","8394","0","72","19","0","74","329","7","748","2003","0","70","0","7","8","604","78","60","616","0","19","253","68","548","10","47","501","11","0","41","5","30","0","0"
"L18768","vo","com.serotonin.mango.vo","L887","L103","0.0680628","0.0391787","15","115","0","37","0","0","268","0","0","1373","1917","0","9","0","73","3","181","0","9","179","65","13","178","0.079947","0","3462","18563","25680","0","157","44","4","126","874","18","2454","7287","0","124","4","18","33","2160","623","181","2083","0","14","873","121","1631","59","141","1473","43","0","80","2","27","0","0"
"L26012","web","com.serotonin.mango.web","L887","L103","0","0.0476227","14","136","0","34","0","0","18","0","0","95","137","0","1","0","14","0","16","0","8","16","0","0","17","0.166667","0","3038","11986","17509","0","136","25","0","118","243","2","906","6052","0","116","0","2","14","737","134","139","695","0","54","679","114","963","112","68","846","70","0","102","5","40","0","0"
"L108","dataSource","br.org.scadabr.rt.dataSource","L107","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","317","383","0","6","14","0","6","2","0","20","127","0","6","0","0","2","17","2","0","23","0","0","10","18","15","1","6","9","13","0","5","0","0","0","0"
"L397","dataSource","br.org.scadabr.vo.dataSource","L396","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","44","815","1041","0","6","14","0","6","40","0","124","272","0","6","0","0","2","102","31","0","108","0","0","37","2","85","0","0","77","5","0","2","0","3","0","0"
"L1368","dao","com.serotonin.mango.db.dao","L1273","L103","0.0758929","0","0","0","0","0","0","0","616","0","0","3457","4635","0","91","0","117","0","369","0","0","277","23","17","207","0.0758929","0","616","3457","4635","0","91","12","0","17","117","0","369","1457","0","20","0","0","0","277","23","17","207","0","5","170","10","259","10","18","239","3","0","5","0","9","0","0"
"L4745","upgrade","com.serotonin.mango.db.upgrade","L1273","L103","0.493671","0","0","0","0","0","0","0","1087","0","0","2117","3527","0","54","0","41","0","111","0","0","55","5","39","40","0.493671","0","1087","2117","3527","0","54","12","0","39","41","0","111","660","0","39","0","0","0","55","5","39","40","0","37","71","18","118","2","13","81","7","0","71","0","1","0","0"
"L6111","dataImage","com.serotonin.mango.rt.dataImage","L6106","L103","0.168067","0","0","0","0","0","0","0","369","0","0","827","1412","0","10","0","53","4","120","0","1","108","5","20","99","0.115556","0","499","1388","2231","0","16","13","0","18","97","4","220","607","0","15","0","4","1","208","8","26","199","0","6","58","20","173","4","18","155","19","0","5","0","2","0","0"
"L6931","dataSource","com.serotonin.mango.rt.dataSource","L6106","L103","0.176471","0.00742918","1","14","0","2","0","0","171","0","0","339","585","0","6","0","8","0","35","0","21","28","3","6","28","0.18693","0","2847","8387","13073","0","121","33","1","110","188","2","725","3823","0","105","1","2","21","591","39","123","535","0","38","302","90","787","43","72","687","69","0","56","20","11","0","0"
"L11916","event","com.serotonin.mango.rt.event","L6106","L103","0.0727273","0.0835776","4","47","0","7","0","0","140","0","0","268","490","0","3","0","23","4","50","0","6","48","9","4","51","0.168798","0","1498","3106","5353","0","45","18","1","46","129","6","417","1258","0","44","0","6","6","344","23","66","325","0","2","222","18","338","9","24","286","15","0","6","21","6","0","0"
"L13776","link","com.serotonin.mango.rt.link","L6106","L103","0.214286","0","0","0","0","0","0","0","37","0","0","133","199","0","1","0","3","0","18","0","0","13","0","3","11","0.214286","0","37","133","199","0","1","12","0","1","3","0","18","51","0","1","0","0","0","13","0","3","11","0","0","5","0","6","0","1","5","0","0","0","0","0","0","0"
"L13837","maint","com.serotonin.mango.rt.maint","L6106","L103","0.26087","0","0","0","0","0","0","0","131","0","0","440","668","0","9","0","3","0","33","0","1","21","0","6","17","0.234043","0","302","886","1384","0","16","13","0","10","11","1","64","384","0","9","0","1","1","48","1","11","36","0","9","30","16","97","3","20","73","9","0","14","2","4","0","0"
"L14362","publish","com.serotonin.mango.rt.publish","L6106","L103","0.162162","0","0","0","0","0","0","0","104","0","0","320","501","0","5","0","5","0","45","0","3","32","0","6","31","0.166667","0","292","1437","2027","0","20","15","1","14","18","0","117","665","0","13","1","0","3","71","0","13","65","0","11","48","21","166","7","15","147","7","0","8","13","8","0","0"
"L15734","mindprod","com.serotonin.mango.util.mindprod","L15521","L103","1","0","0","0","0","0","0","0","306","0","0","555","2161","0","1","0","0","0","17","0","0","13","0","14","0","1","0","306","555","2161","0","1","12","0","1","0","0","17","132","0","1","0","0","0","13","0","14","0","0","4","4","1","11","2","11","1","0","0","4","0","0","0","0"
"L15857","test","com.serotonin.mango.util.test","L15521","L103","0.0384615","0","0","0","0","0","0","0","42","0","0","110","184","0","1","0","20","0","25","0","0","25","1","1","25","0.0384615","0","42","110","184","0","1","12","0","1","20","0","25","22","0","1","0","0","0","25","1","1","25","0","0","8","0","1","0","0","1","0","0","0","0","0","0","0"
"L15921","timeout","com.serotonin.mango.util.timeout","L15521","L103","0","0","0","0","0","0","0","0","18","0","0","58","96","0","2","0","0","2","10","0","0","8","0","0","12","0","0","18","58","96","0","2","12","0","4","0","2","10","13","0","2","0","2","0","8","0","0","12","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L15980","chart","com.serotonin.mango.view.chart","L15970","L103","0.0714286","0","0","0","0","0","0","0","184","0","0","425","723","0","7","0","23","1","61","0","0","48","5","4","52","0.0714286","0","184","425","723","0","7","12","0","7","23","1","61","147","0","7","0","1","0","48","5","4","52","0","1","12","5","43","2","2","44","0","0","2","1","0","0","0"
"L16237","component","com.serotonin.mango.view.component","L15970","L103","0.0857143","0.0111801","1","5","0","1","0","0","465","0","0","1810","2703","0","18","0","69","0","239","0","0","192","33","18","192","0.0857143","0","465","1810","2703","0","18","12","0","17","69","0","239","748","0","18","0","0","0","192","33","18","192","0","5","102","19","182","3","9","153","1","0","23","1","19","0","0"
"L17104","conversion","com.serotonin.mango.view.conversion","L15970","L103","0.2","0","0","0","0","0","0","0","65","0","0","86","178","0","3","0","5","1","17","0","0","16","0","3","12","0.2","0","65","86","178","0","3","12","0","3","5","1","17","21","0","2","0","1","0","16","0","3","12","0","0","5","0","2","0","0","2","0","0","0","0","0","0","0"
"L17194","custom","com.serotonin.mango.view.custom","L15970","L103","0.263158","0","0","0","0","0","0","0","122","0","0","180","349","0","5","0","6","0","17","0","0","14","0","5","14","0.263158","0","122","180","349","0","5","12","0","5","6","0","17","77","0","5","0","0","0","14","0","5","14","0","0","5","0","19","0","0","10","0","0","0","1","8","0","0"
"L17367","export","com.serotonin.mango.view.export","L15970","L103","0.333333","0","0","0","0","0","0","0","27","0","0","37","80","0","1","0","0","0","2","0","0","2","0","1","2","0.333333","0","27","37","80","0","1","12","0","1","0","0","2","25","0","1","0","0","0","2","0","1","2","0","0","1","0","11","0","3","8","0","0","0","0","0","0","0"
"L17384","graphic","com.serotonin.mango.view.graphic","L15970","L103","0.0657895","0.0388601","1","5","0","1","0","0","288","0","0","551","1008","0","10","0","56","1","85","0","0","65","0","5","71","0.0657895","0","288","551","1008","0","10","12","0","11","56","1","85","193","0","10","0","1","0","65","0","5","71","0","1","32","1","58","0","0","58","0","0","1","1","0","0","0"
"L17769","stats","com.serotonin.mango.view.stats","L15970","L103","0.15493","0","0","0","0","0","0","0","344","0","0","488","966","0","9","0","26","3","71","0","0","61","0","11","60","0.15493","0","344","488","966","0","9","12","0","11","26","3","71","220","0","8","0","3","0","61","0","11","60","0","7","16","25","58","0","25","56","1","0","7","0","1","0","0"
"L18059","text","com.serotonin.mango.view.text","L15970","L103","0.0814815","0","0","0","0","0","0","0","315","0","0","893","1455","0","11","0","104","1","165","0","0","123","19","11","124","0.0814815","0","315","893","1455","0","11","12","0","11","104","1","165","310","0","11","0","1","0","123","19","11","124","0","4","50","9","114","1","1","116","2","0","7","1","0","0","0"
"L18785","bean","com.serotonin.mango.vo.bean","L18768","L103","0.111111","0","0","0","0","0","0","0","43","0","0","71","138","0","4","0","7","0","16","0","0","16","5","2","16","0.111111","0","43","71","138","0","4","12","0","3","7","0","16","17","0","3","0","0","0","16","5","2","16","0","0","4","0","2","0","0","0","2","0","0","0","0","0","0"
"L19055","dataSource","com.serotonin.mango.vo.dataSource","L18768","L103","0.2","0.0185338","2","32","0","4","0","0","118","0","0","513","723","0","29","1","21","2","88","0","21","72","5","10","40","0.0947205","0","2127","11037","15234","0","96","33","3","71","480","12","1458","4027","0","69","3","12","21","1231","331","122","1166","0","1","479","71","1014","24","108","907","10","0","44","0","17","0","0"
"L23351","event","com.serotonin.mango.vo.event","L18768","L103","0.0233463","0.0888606","4","56","0","8","0","0","170","0","0","2415","2986","0","7","0","113","0","273","0","0","250","94","6","251","0.0233463","0","170","2415","2986","0","7","12","0","7","113","0","273","1072","0","7","0","0","0","250","94","6","251","0","6","148","26","209","20","8","203","11","0","15","1","3","0","0"
